SECTION, PARAGRAPH, LINESECTION B, B.1, "The Contractor shall provide all management, supervision, labor, facilities and materials necessary to perform on a Task Order basis."
SECTION B, B.6.1, "as defined by the market. The Contractor shall  utilize the Standard IT Service LCATs to the maximum extent possible."
SECTION B, B.1, "If a Contractor does not have an approved purchasing system, the Contractor shall request and receive OCO consent to subcontract in accordance with FAR 44."
SECTION B, B.1, "classification up through the Secret level. The Contractor shall always provide to the agency OCO the detailed rationale in all instances if and when the Maximum Rates of labor are exceeded."
SECTION B, B.1, "Based on the established CAF rate, the Contractor shall include the CAF in each proposal. The Contractor shall include the CAF as a separate cost element on all proposals to the government, regardless of contract type."
SECTION C, C.3, "The Contractor shall promote IT solutions that support Federal government operational require ments for standardized technology and application service components."
SECTION C, C.4, "The Contractor shall provide Infrastructure and related services, Applications and related services, and IT     In order to provide a common framework for defining and understandi ng the components of an IT solution, this section will refer to terminology included in the FEA and DoD IEA."
SECTION C, C.4, "The Contractor shall promote IT solution s that support Federal government operational requirements for standardized technology and application service components."
SECTION C, C.4.2, "The Contractor shall promote, to the maximum extent practicable use of commercially available technologies (e."
SECTION C, C.4.2, "The Contractor shall provide competencies to employ  development and implementation and alignment with the FEA."
SECTION C, C.4.2, "The Contractor shall provide Applications Services for systems required to support unique agency and departmental - level mission requirements, as specified in individual Orders."
SECTION C, C.6, "The Contractor shall abide by all contract cybersecurity requirements located in  Sections H."
SECTION C, C.8, "The Contractor shall not accept or perform work for a t ask order having the PRIMARY purpose of:    1."
SECTION E, E.2, "tions of the Task Order without written approval of the Contracting Officer. The contractor shall be notified in writing by the Contracting Officer of the name, duties, and limitations of the CORs by means of the COR Designation Letter."
SECTION E, E.4, "approval and acceptance by GSA GWAC COR.  The Contractor shall not construe any letter of"
SECTION F, F.4, "incoming Contractor with minimal disruption of services to the government.  The Contractor shall maintain sufficient qualified  staff to meet all requirements of this effort."
SECTION F, F.4, "staff to meet all requirements of this effort.  The Contractor shall submit a written phase - out plan unless designated otherwise by the OCO."
SECTION, F.8, "performance of this contract, the Contractor shall immediately notify the Contract ing Officer and the  informational only in character and that this provision shall not be construed as a waiver by the Government of any delivery sc hedule or date or of any rights or remedies provided by law or under this contract."
SECTION G, G.4.3, "matters. The Contractor shall address Task Order matters directly with the Task Order OCO and address"
SECTION G, G.8, "GWAC Program. The Contractor shall assign a dedicated Program Manager to represent the Contractor primary point - of - c ontact to resolve program, contractual, and technical issues, perform administrative duties, and other functions that may arise relating to the Master Contract and Task Orders solicited and issued under the Master Contract."
SECTION G, G.8, "within 30 days of the Notice to Proceed. The Contractor shall ensure that the ACO has current points - of -  ociated with the key personnel shall be at no direct cost to the Government."
SECTION G, G.8, "The Contractor shall develop and maintain a current publicly available webpage accessible via the Internet throughout the period of performance of the Master Contract."
SECTION G, G.8, "The Contractor shall provide the GWAC ACO with the web address w ithin thirty (30) days after the receipt of Notice to Proceed."
SECTION G, G.8, "of Notice to Proceed. The Contractor shall ensure all information provided on their web page is updated continually until Master Contract expiration."
SECTION G, G.8, "The Contractor shall maintain the minimum insurance coverage delineated within Federal Acquisition Regulation (FAR) Subpart 28."
SECTION G, G.8, "The Contractor shall notify the GSA GWAC Contracting Officer and designated OCO for affected Task Orders, in writing, if there are any changes in the status of their insurance coverage and provide the reasons for the change and copies of ACORD  Form, Certificate of Liability Insurance, as applicable."
SECTION G, G.8, "The Contractor shall match their Corporate Labor Titles to all the Standard IT Service LCATs defined to the GSA GWAC."
SECTION G, G.8, "The Contractor shall participate in a mandatory post - award conference after the Notice to Proceed that will be held at a time and pl ace to be determined by the Alliant 2 Small Business  GWAC PCO (FAR 42."
SECTION G, G.8, "The Contractor shall establish a shared GSA GWAC electronic mailbox for  receipt of communications   A2SB  A2SB@xyzcorp."
SECTION G, G.1, "OCO, the Contractor shall not commence work until a fully executed Task Order has been awarded."
